symbol,RSI,SMA,MACD,Signal,Histogram,ATR,OBV,EMA,target,Timp început
PEPEUSDC,49.926996236108586,1.7472e-05,5.571078665566037e-08,8.382531191188601e-08,-2.8114525256225648e-08,2.0786787908709386e-07,-226387817604.0,1.7460096553869913e-05,1.74e-05,2023-05-13 10:00:00
PEPEUSDC,56.21105423787432,1.7479e-05,5.7889192621582083e-08,7.863808805382523e-08,-2.0748895432243152e-08,1.9515342810278379e-07,-190131113463.0,1.7476077243095932e-05,1.754e-05,2023-05-13 11:00:00
PEPEUSDC,54.62894220339827,1.74865e-05,5.654305265047992e-08,7.421908097315619e-08,-1.7676028322676263e-08,1.94070280774849e-07,-202504071515.0,1.7482861794476747e-05,1.751e-05,2023-05-13 12:00:00
PEPEUSDC,48.72172627916385,1.7482499999999997e-05,4.527136973693055e-08,6.842953872591105e-08,-2.3158168988980504e-08,1.923498546586885e-07,-203393580717.0,1.74642894355814e-05,1.739e-05,2023-05-13 13:00:00
SHIBUSDC,69.02069318328286,,,,,2.2969646302947059e-07,8972130390.0,2.188827832888889e-05,2.21e-05,2023-05-13 14:00:00
SHIBUSDC,82.20521101833091,,,,,2.723107739392355e-07,19056878254.0,2.2054622663111117e-05,2.272e-05,2023-05-13 15:00:00
SHIBUSDC,82.20521101833091,,,,,2.8441539819029425e-07,19056878254.0,2.218769813048889e-05,2.272e-05,2023-05-13 16:00:00
SHIBUSDC,66.7862448184626,,,,,3.108991994080844e-07,14373124753.0,2.2236158504391112e-05,2.243e-05,2023-05-13 17:00:00
SHIBUSDC,57.91195690521998,,,,,3.311768379487734e-07,10092249142.0,2.223092680351289e-05,2.221e-05,2023-05-13 18:00:00
SHIBUSDC,51.245511591472166,2.20145e-05,,,,3.329567508757549e-07,7483207892.0,2.2186741442810316e-05,2.201e-05,2023-05-13 19:00:00
SHIBUSDC,50.00568724667427,2.2035e-05,,,,3.1697176018623056e-07,5107462856.0,2.2143393154248253e-05,2.197e-05,2023-05-13 20:00:00
SHIBUSDC,49.362618791728046,2.2056e-05,,,,3.054780800311391e-07,3390789395.0,2.21047145233986e-05,2.195e-05,2023-05-13 21:00:00
SHIBUSDC,49.362618791728046,2.20685e-05,,,,2.890028779264829e-07,3390789395.0,2.207377161871888e-05,2.195e-05,2023-05-13 22:00:00
SHIBUSDC,48.997235441438505,2.2058e-05,,,,2.7424779027578185e-07,2162737331.0,2.2047017294975105e-05,2.194e-05,2023-05-13 23:00:00
SHIBUSDC,46.76074071970936,2.2044e-05,,,,2.68726198842531e-07,-317731853.0,2.2013613835980083e-05,2.188e-05,2023-05-14 00:00:00
SHIBUSDC,44.56984307116844,2.2031e-05,3.960782790928577e-09,,,2.645984738601083e-07,-2188868498.0,2.1974891068784067e-05,2.182e-05,2023-05-14 01:00:00
SHIBUSDC,45.93386306091045,2.20215e-05,-8.000748990622322e-09,,,2.625419906443915e-07,429947846.0,2.1949912855027252e-05,2.185e-05,2023-05-14 02:00:00
SHIBUSDC,40.24563704478712,2.20075e-05,-3.004467561160362e-08,,,2.681137912613084e-07,-2932024009.0,2.1897930284021807e-05,2.169e-05,2023-05-14 03:00:00
SHIBUSDC,39.91296024641856,2.19965e-05,-4.777088962392315e-08,,,2.600994324137879e-07,-7183658077.0,2.1854344227217447e-05,2.168e-05,2023-05-14 04:00:00
SHIBUSDC,39.56078944962776,2.1987500000000003e-05,-6.191227223045294e-08,,,2.4796312848709865e-07,-8371996597.0,2.181747538177396e-05,2.167e-05,2023-05-14 05:00:00
SHIBUSDC,45.747056140349976,2.19885e-05,-6.271350051499488e-08,,,2.369122776821283e-07,-6449408437.0,2.181198030541917e-05,2.179e-05,2023-05-14 06:00:00
SHIBUSDC,43.73822049130524,2.19885e-05,-6.661516369502059e-08,,,2.33186907204932e-07,-9475760869.0,2.1797584244335336e-05,2.174e-05,2023-05-14 07:00:00
SHIBUSDC,45.789110905149165,2.1987e-05,-6.572199195635007e-08,,,2.219062833964485e-07,-7005157409.0,2.179406739546827e-05,2.178e-05,2023-05-14 08:00:00
SHIBUSDC,51.9229809064471,2.19905e-05,-5.390287458894336e-08,-4.3635703824553595e-08,-1.0267170764389766e-08,2.1862890288103627e-07,-4557530169.0,2.1817253916374612e-05,2.191e-05,2023-05-14 09:00:00
SHIBUSDC,50.04658778547196,2.1979e-05,-4.7219487767311285e-08,-4.435246061310513e-08,-2.867027154206147e-09,2.179586028550523e-07,-5964911397.0,2.182780313309969e-05,2.187e-05,2023-05-14 10:00:00
SHIBUSDC,52.80186316902949,2.19395e-05,-3.6658777433924685e-08,-4.2813723977269044e-08,6.1549465433443665e-09,2.096244001697225e-07,-4947943088.0,2.1848242506479756e-05,2.193e-05,2023-05-14 11:00:00
SHIBUSDC,51.776689228220185,2.1899e-05,-2.9562394381457327e-08,-4.01634580581067e-08,1.0601063676649372e-08,2.0658301786274075e-07,-6187076560.0,2.1860594005183803e-05,2.191e-05,2023-05-14 12:00:00
SHIBUSDC,47.78052011728989,2.1869e-05,-3.0047423108081725e-08,-3.8140251068101714e-08,8.092827960019982e-09,2.053169276313509e-07,-7673637515.0,2.1854475204147047e-05,2.183e-05,2023-05-14 13:00:00
SHIBUSDC,47.7805201172899,2.185e-05,-3.0085010593519776e-08,-3.6529202973185323e-08,6.444192379665548e-09,2.003544868776915e-07,-7673637515.0,2.184958016331764e-05,2.183e-05,2023-05-14 14:00:00
SHIBUSDC,42.9723675162584,2.1836e-05,-3.774881833176029e-08,-3.6773126044900325e-08,-9.756922868599658e-10,2.124286315294714e-07,-13626708110.0,2.1825664130654112e-05,2.173e-05,2023-05-14 15:00:00
SHIBUSDC,36.28717219944768,2.18155e-05,-5.688429370124326e-08,-4.0795359576168905e-08,-1.6088934125074346e-08,2.3032119240101647e-07,-19001769314.0,2.1772531304523293e-05,2.156e-05,2023-05-14 16:00:00
SHIBUSDC,37.51869002646454,2.1797e-05,-6.963277960381648e-08,-4.6562843581698425e-08,-2.3069936022118052e-08,2.2729617819456247e-07,-18013431643.0,2.173402504361864e-05,2.158e-05,2023-05-14 17:00:00
SHIBUSDC,60.78392656624005,2.1807e-05,-3.335728816447901e-08,-4.392173249825455e-08,1.0564444333775534e-08,2.4992457271679466e-07,-5201770455.0,2.181722003489491e-05,2.215e-05,2023-05-14 18:00:00
SHIBUSDC,59.12027038952089,2.18155e-05,-7.747062242896633e-09,-3.668679844718296e-08,2.8939736204286332e-08,2.6557654859525854e-07,-9740808427.0,2.1875776027915928e-05,2.211e-05,2023-05-14 19:00:00
SHIBUSDC,48.12652415918127,2.18115e-05,-1.2323129543731005e-08,-3.181406466649257e-08,1.9490935122761565e-08,3.186423784846426e-07,-18856376091.0,2.186062082233274e-05,2.18e-05,2023-05-14 20:00:00
SHIBUSDC,37.85555930166687,2.17895e-05,-4.927220643705023e-08,-3.53056930206041e-08,-1.3966513416446133e-08,3.594796745920709e-07,-23843311353.0,2.1764496657866194e-05,2.138e-05,2023-05-14 21:00:00
SHIBUSDC,40.14820710728744,2.17695e-05,-7.207536119464268e-08,-4.265962665541181e-08,-2.9415734539230854e-08,3.565632355681776e-07,-21404697292.0,2.170159732629296e-05,2.145e-05,2023-05-14 22:00:00
SHIBUSDC,36.42673743546701,2.17485e-05,-1.03478683455496e-07,-5.482343801542865e-08,-4.8655245440067355e-08,3.6344876426501486e-07,-25000885367.0,2.1615277861034368e-05,2.127e-05,2023-05-14 23:00:00
SHIBUSDC,33.977161255905955,2.17215e-05,-1.3727355208202342e-07,-7.131346082874761e-08,-6.596009125327581e-08,3.771650274568924e-07,-30460024631.0,2.1520222288827496e-05,2.114e-05,2023-05-15 00:00:00
SHIBUSDC,31.84815227713074,2.1689e-05,-1.7175929186540726e-07,-9.140262703607955e-08,-8.035666482932769e-08,3.781067498880957e-07,-36078588430.0,2.1420177831062e-05,2.102e-05,2023-05-15 01:00:00
SHIBUSDC,30.31396259113445,2.1646e-05,-2.0400015019295158e-07,-1.1392213166745397e-07,-9.00780185254976e-08,3.804422706018595e-07,-41675180119.0,2.13221422648496e-05,2.093e-05,2023-05-15 02:00:00
SHIBUSDC,28.050344160145556,2.15985e-05,-2.38103385062762e-07,-1.3875838234651558e-07,-9.93450027162464e-08,3.869887329011942e-07,-48005063673.0,2.121571381187968e-05,2.079e-05,2023-05-15 03:00:00
SHIBUSDC,25.689373179648506,2.1541e-05,-2.748725475953754e-07,-1.6598121539628756e-07,-1.0889133219908785e-07,4.018036579356447e-07,-56883519113.0,2.1098571049503745e-05,2.063e-05,2023-05-15 04:00:00
