symbol,current_price,predicted_price,timestamp,real_price,accuracy,trend_match
TROYUSDC,0.002915,0.0028868729999999,2025-01-14 23:22:32,0.002915,0.9649056603807868,True
CATIUSDC,0.3074,0.3030641000000001,2025-01-14 23:22:32,0.3075,1.4425691056910184,False
MEMEUSDC,0.00911,0.0090656099999999,2025-01-14 23:22:32,0.0091,0.37791208791319864,True
HBARUSDC,0.28949,0.2898895999999998,2025-01-14 23:22:32,0.28929,0.20726606519403068,False
FDUSDUSDC,0.9997,0.9996189999999998,2025-01-14 23:22:32,0.9996,0.0019007603040985595,True
DYDXUSDC,1.2886,1.2889260000000002,2025-01-14 23:22:32,1.2892,0.02125349053674088,True
COWUSDC,0.7761,0.7706279999999994,2025-01-14 23:22:33,0.777,0.8200772200772971,False
CETUSUSDC,0.2967,0.2974006000000002,2025-01-14 23:22:33,0.2967,0.23613077182344527,False
KAIAUSDC,0.2118,0.2118409999999998,2025-01-14 23:22:33,0.2118,0.019357884796892807,False
CHZUSDC,0.0807,0.0807220000000001,2025-01-14 23:22:33,0.0807,0.02726146220583057,False
TURBOUSDC,0.008432,0.00846985,2025-01-14 23:22:33,0.008413,0.6757399263045157,False
XTZUSDC,1.27,1.2832940000000006,2025-01-14 23:22:33,1.27,1.0467716535433529,False
PYTHUSDC,0.3262,0.3221730000000004,2025-01-14 23:22:33,0.3259,1.1436023320035738,True
HMSTRUSDC,0.003252,0.0032519999999999,2025-01-14 23:22:33,0.003252,3.080574438427448e-12,True
SANDUSDC,0.5716,0.5728259999999994,2025-01-14 23:22:33,0.5716,0.2144856543036029,False
WUSDC,0.2452,0.2447949999999996,2025-01-14 23:22:33,0.2452,0.16517128874404774,True
RSRUSDC,0.01317,0.01311388,2025-01-14 23:22:33,0.013145,0.23674400912895244,True
ORCAUSDC,3.339,3.340740000000002,2025-01-14 23:22:33,3.339,0.05211141060203873,False
STEEMUSDC,0.2637,0.264447,2025-01-14 23:22:33,0.2637,0.2832764505119445,False
HIVEUSDC,0.5011,0.499189,2025-01-14 23:22:33,0.4995,0.06226226226226341,True
TLMUSDC,0.01192,0.0118375499999999,2025-01-14 23:22:33,0.01192,0.6916946308733235,True
USDCPLN,4.185,4.1908600000000025,2025-01-14 23:22:33,4.185,0.14002389486267294,False
MOVEUSDC,0.8403,0.8398399999999999,2025-01-14 23:22:33,0.8403,0.05474235392123372,True
1000CATUSDC,0.02645,0.0263867,2025-01-14 23:22:33,0.02645,0.23931947069944134,True
PENGUUSDC,0.032665,0.0323686199999999,2025-01-14 23:22:33,0.032585,0.6640478747893392,True
IDEXUSDC,0.05926,0.0592857999999999,2025-01-14 23:22:33,0.05925,0.060421940928110304,False
ACXUSDC,0.4325,0.4344879999999998,2025-01-14 23:22:33,0.4324,0.4828862164661915,False
BIOUSDC,0.4129,0.4155550000000001,2025-01-14 23:22:33,0.4132,0.5699419167473637,True
PHAUSDC,0.281,0.2798657999999997,2025-01-14 23:22:33,0.281,0.4036298932385434,True
USUALUSDC,0.5538,0.5503480000000002,2025-01-14 23:22:34,0.5538,0.6233297219212331,True
AIXBTUSDC,0.6284,0.6336629999999996,2025-01-14 23:22:34,0.6273,1.0143472022955005,False
CGPTUSDC,0.4047,0.3986859999999998,2025-01-14 23:22:34,0.4046,1.4616905585764204,True
COOKIEUSDC,0.5746,0.5522170000000002,2025-01-14 23:22:34,0.577,4.29514731369147,False
BTCUSDC,96499.96,96602.88020000009,2025-01-14 23:23:27,96489.82,0.11717318987648638,False
ETHUSDC,3228.3,3226.255099999997,2025-01-14 23:23:27,3228.56,0.07139096067605426,False
TRXUSDC,0.221,0.221849,2025-01-14 23:23:27,0.221,0.38416289592759667,False
BNBUSDC,699.19,698.2734999999998,2025-01-14 23:23:27,699.27,0.14250575600271662,False
XRPUSDC,2.6597,2.671904000000004,2025-01-14 23:23:27,2.661,0.4097707628712522,True
USDCUSDT,1.0005,1.000647000000001,2025-01-14 23:23:27,1.0004,0.02469012395051944,False
XLMUSDC,0.4286,0.4295510000000002,2025-01-14 23:23:27,0.4286,0.2218852076528702,False
EOSUSDC,0.7961,0.7947499999999998,2025-01-14 23:23:27,0.7961,0.1695766863459596,True
LTCUSDC,101.75,101.65490000000004,2025-01-14 23:23:27,101.75,0.09346437346433371,True
NEOUSDC,14.84,14.908999999999992,2025-01-14 23:23:27,14.84,0.46495956873309946,False
ADAUSDC,0.9955,1.0003269999999989,2025-01-14 23:23:27,0.995,0.535376884421996,False
LINKUSDC,20.37,20.44179999999997,2025-01-14 23:23:27,20.35,0.4511056511054901,False
DOGEUSDC,0.35567,0.3584636999999999,2025-01-14 23:23:28,0.35587,0.7288335628178451,True
ORDIUSDC,25.51,25.07929900000001,2025-01-14 23:23:28,25.51,1.6883614268913838,True
AVAXUSDC,36.49,36.53419999999996,2025-01-14 23:23:28,36.49,0.12112907645919686,False
SOLUSDC,187.53,187.36759999999987,2025-01-14 23:23:28,187.48,0.059953061659975326,True
ONTUSDC,0.2538,0.2546240000000002,2025-01-14 23:23:28,0.2536,0.403785488959066,False
BCHUSDC,438.3,439.6180000000004,2025-01-14 23:23:28,438.3,0.3007072781200962,False
INJUSDC,21.05,20.95710000000001,2025-01-14 23:23:28,21.05,0.4413301662707342,True
ATOMUSDC,6.257,6.380570000000002,2025-01-14 23:23:28,6.247,2.1381463102289486,False
ARBUSDC,0.739,0.7405739999999997,2025-01-14 23:23:28,0.739,0.2129905277401546,False
OPUSDC,1.788,1.80601,2025-01-14 23:23:28,1.79,0.894413407821221,True
DOTUSDC,6.641,6.638570000000008,2025-01-14 23:23:28,6.64,0.021536144578193507,True
ALGOUSDC,0.3701,0.3772068,2025-01-14 23:23:28,0.3703,1.8651903861733703,True
UNIUSDC,13.372,13.33773999999998,2025-01-14 23:23:29,13.372,0.25620699970101163,True
SUIUSDC,4.5701,4.604509999999999,2025-01-14 23:23:29,4.5713,0.7264891825082476,True
